=== 表1_费用汇总 ===
项目,费用,比例,环比
总邮费(Total),-15415.720000000001,100.00%,-3.04%
超支邮费(Over),86.77,-0.56%,0.00%
罚款邮费(Fine),-258.42999999999995,1.68%,-27.64%


=== 表2_单数汇总 ===
项目,单数,比例,环比
总订单数,1871,100%,3.26%


=== 表3_Combo详情 ===
Combo,原始邮费,超支邮费,邮费罚款,包邮退货邮费,原始单数,超支单数,罚款单数,包邮退货单数,罚款比例,罚款单数比例,总订单数
5102SH571T20.2+BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.5,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5110/5112-5450B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.5,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5120SH741T10.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.59,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T20.2+BU1B4D50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-6.59,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5120SH741T12.2+BU1B4D40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.17,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
6135-6550H871E38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.31,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5450/5475-5500B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.31,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.31,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5450H671B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.92,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5500/5550-5450B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.92,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5450H641E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.92,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T20.2+BE2B4E65K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.92,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-7.92,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T25.4+BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.08,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1C1E46C.20+NU1C9E46C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.08,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5130SH715T12.4+BE2B4E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5475-5475B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T20.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5120SH726T30.4+BU1B4D60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112H666E32.4+BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B4A28K.16+BU1B9A28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.14,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE1C2B40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.14,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3A37C.20+NE3C9A37C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.14,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5450H671B20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.35,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T25.2+BU1B4D55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.59,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6135H871E25.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.59,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5120SH741T10.4+BU1B4D40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.59,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5110/5112-5450B32.4+BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.83,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5120H669E32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.83,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550B38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.83,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5130SH715T25.2+BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.83,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3B48K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE3C3B37C.20+NE3C9B37C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B4D28K.16+BU1B9D28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE1C3B40C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B4B50K.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1C1E46K.28+NU1C9E46K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BU1B4A28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3A37C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1P1H22Z.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-8.9,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1C1H46K.16+NU1C9H46K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.1,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5475-5450B25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.38,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5102SH571T12.4+BE2B4E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.38,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550B51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.38,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6550B32.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.38,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550H951E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.38,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5130SH715T30.4+BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.7,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6450/6500-6550B32.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.7,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5135/5500-5500H38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.7,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3B37K.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-9.7,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5102SH571T15.2+BE2B4E45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-10.3,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5120SH726T15.2+BU1B4B45K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-10.3,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-10.3,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NE3C3A37K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-10.3,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5120SH726T20.2+BU1B4B50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-10.4,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T12.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-12.15,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5120SH741T20.2+BU1B4D50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-12.18,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH741T30.2+BU1B4D60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-12.42,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1P1A22Z.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-12.86,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1P1K22K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-12.96,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5120H669E20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-14.1,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE3C3A37C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-14.23,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
S2D15E45K.20+NU1C8E51K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-14.5,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C9H46K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-14.93,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C1E46C.16+NU1C9E46C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-15.05,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5450H641E15.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-15.33,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C9H36K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-15.79,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
6550H781E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-15.84,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-16.07,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
BU1B4D50K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-16.21,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5450H601B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-16.55,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5130H715E32.4+BU1B4E28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-16.73,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
BE2B4E45K.16+BE2B9E45K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-16.82,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
6550H781E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.18,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
8170-8650E51.4+NU1P1F22Z.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.18,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
6550-6135H781E38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.18,0.0,0.0,-8.59,1,0,0,0,-0.00%,0.00%,1
NU1C1H36K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.18,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE1C2B40C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.49,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
BE2B4E70K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.49,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE3C2E48K.20+NE3C9E48K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.49,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C1H36C.23+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.78,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1P1H22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.8,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
BU1B4A28C.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-17.8,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
BU1B4B28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.2,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C1A36K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.2,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.29,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
5120SH741T25.4+BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.29,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE3C2E48C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.31,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
6135/6550-6550E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.47,0.0,-4.94,0.0,1,0,1,0,26.75%,100.00%,1
NE1C3F45C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.5,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
8170-8180E51.4+NU1P1F22Z.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-18.76,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
BE2B9B40K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-19.11,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH741T25.2+BU1B4D55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-19.12,0.0,0.0,0.0,4,0,0,0,-0.00%,0.00%,4
NU1C1H46C.23+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-19.2,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE1C2E45C.128+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-19.2,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
NU1C9H46C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-19.88,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH741T15.4+BU1B4D45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-22.59,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5475/5500-5500H32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-22.86,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5115H715E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-22.96,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH741T30.4+BU1B4D60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.09,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5112SH666T15.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.39,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5112SH666T30.2+BU1B4D60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.42,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NU1C1B36K.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.66,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE3C3B37C.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.67,0.0,-5.52,0.0,2,0,1,0,23.32%,50.00%,2
BE2B9E45K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.86,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5112SH666T30.4+BE2B4E75K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.92,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5112H666E32.2+BU1B4E28K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.92,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NU1C1B36C.20+NU1C9B36C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-23.99,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NU1C1E46C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-24.65,0.0,0.0,0.0,4,0,0,0,-0.00%,0.00%,4
6135H871E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-25.01,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE1C2E45C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-25.1,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH726T25.4+BU1B4B55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-25.45,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NU1C1H36K.16+NU1C9H36K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-25.88,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE3C2E48C.16+NE3C9E48C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-25.94,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NU1C8E51C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.08,0.0,0.0,0.0,4,0,0,0,-0.00%,0.00%,4
5112SH666T20.2+BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.08,0.0,0.0,0.0,2,0,0,0,-0.00%,0.00%,2
NE1C2E40C.20+NE1C9E40C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.16,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5112SH666T25.4+BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.25,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
BE2B4E28K.16+BE2B9E28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.56,0.0,0.0,-3.96,2,0,0,0,-0.00%,0.00%,2
NU1C8E51C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.59,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE3C2E48K.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.7,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NU1C1A36C.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.81,0.0,-5.69,0.0,2,0,1,0,21.22%,50.00%,2
6550H106B25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-26.86,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
5120SH726T15.4+BU1B4D45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-27.68,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
NE1C2E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-27.79,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
6450/6500-6550B32.4+NU1P1H22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-28.68,0.0,0.0,0.0,1,0,0,0,-0.00%,0.00%,1
5112SH666T25.2+BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-29.64,0.0,0.0,0.0,4,0,0,0,-0.00%,0.00%,4
5120H641E20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-29.85,0.0,0.0,0.0,4,0,0,0,-0.00%,0.00%,4
NE3C3B48K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,-29.97,0.0,0.0,0.0,3,0,0,0,-0.00%,0.00%,3
