=== A1_数量表 ===
SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
BE2B9E28K,13.0,1.0,1.0,0.0,0,0,11.7
BE2B9E45K,6.0,0.0,0.0,0.0,0,0,6.0
BU1B4A28C,32.0,0.0,0.0,0.0,0,0,32.0
BU1B4A28K,116.0,0.0,0.0,0.0,0,0,116.0
BU1B4B28K,40.0,0.0,0.0,0.0,0,0,40.0
BU1B4B40K,80.0,0.0,0.0,0.0,0,0,80.0
BU1B4B45K,10.0,0.0,0.0,0.0,0,0,10.0
BU1B4B50K,26.0,0.0,0.0,0.0,0,0,26.0
BU1B4B55K,40.0,0.0,0.0,0.0,0,0,40.0
BU1B4D28K,276.0,50.0,0.0,0.0,0,0,226.0
BU1B4D40K,320.0,30.0,0.0,0.0,0,0,290.0
BU1B4D45K,430.0,0.0,0.0,0.0,0,0,430.0
BU1B4D50K,360.0,10.0,0.0,0.0,0,0,350.0
BU1B4D55K,140.0,0.0,0.0,0.0,0,0,140.0
BU1B4D60K,160.0,10.0,0.0,0.0,0,0,150.0
BU1B4E28K,598.0,20.0,20.0,16.0,0,0,564.0
BU1B9A28K,6.0,0.0,0.0,0.0,0,0,6.0
BU1B9B28K,9.0,0.0,0.0,0.0,0,0,9.0
BU1B9D28K,9.0,1.0,1.0,0.0,0,0,7.7
BU1B9E28K,19.0,0.0,0.0,1.0,0,0,18.5
BU1B9SKTX,1.0,0.0,0.0,0.0,0,0,1.0
NE1C2B40C,48.0,0.0,0.0,0.0,0,0,48.0
NE1C2B40K,20.0,0.0,0.0,0.0,0,0,20.0
NE1C2E40C,1304.0,0.0,20.0,0.0,0,0,1298.0
NE1C2E40K,2116.0,20.0,40.0,20.0,0,0,2074.0
NE1C2E45C,1260.0,0.0,0.0,0.0,0,0,1260.0
NE1C2E45K,1476.0,0.0,24.0,0.0,0,0,1468.8
NE1C3B40C,384.0,20.0,0.0,0.0,0,0,364.0
NE1C3B40K,208.0,44.0,0.0,0.0,0,0,164.0
NE1C3E45C,60.0,0.0,0.0,0.0,0,0,60.0
NE1C3E45K,556.0,20.0,0.0,0.0,0,0,536.0
NE1C3F45C,72.0,0.0,0.0,0.0,0,0,72.0
NE1C3F45K,24.0,0.0,0.0,0.0,0,0,24.0
NE1C9E40C,22.0,0.0,0.0,0.0,0,0,22.0
NE1C9E40K,58.0,1.0,1.0,0.0,0,0,56.7
NE3C2E48C,644.0,0.0,0.0,0.0,0,0,644.0
NE3C2E48K,1016.0,48.0,24.0,0.0,0,0,960.8
NE3C3A37C,100.0,0.0,0.0,0.0,0,0,100.0
NE3C3A37K,248.0,0.0,0.0,0.0,0,0,248.0
NE3C3B37C,2228.0,20.0,0.0,0.0,0,0,2208.0
NE3C3B37K,1352.0,20.0,16.0,0.0,0,0,1327.2
NE3C3B48C,236.0,0.0,0.0,0.0,0,0,236.0
NE3C3B48K,108.0,0.0,0.0,0.0,0,0,108.0
NE3C9A37C,11.0,0.0,0.0,0.0,0,0,11.0
NE3C9A37K,6.0,0.0,0.0,0.0,0,0,6.0
NE3C9B37C,19.0,0.0,2.0,0.0,0,0,18.4
NE3C9B37K,44.0,1.0,5.0,0.0,0,0,41.5
NE3C9E48C,8.0,0.0,1.0,0.0,0,0,7.7
NE3C9E48K,22.0,0.0,0.0,0.0,0,0,22.0
NU1C1A36C,384.0,0.0,0.0,0.0,0,0,384.0
NU1C1A36K,512.0,0.0,20.0,0.0,0,0,506.0
NU1C1B36C,2420.0,56.0,0.0,0.0,0,0,2364.0
NU1C1B36K,1512.0,52.0,0.0,0.0,0,0,1460.0
NU1C1E46C,416.0,0.0,0.0,0.0,0,0,416.0
NU1C1E46K,1532.0,20.0,36.0,0.0,0,0,1501.2
NU1C1H36C,1150.0,20.0,0.0,0.0,0,0,1130.0
NU1C1H36K,196.0,0.0,0.0,0.0,0,0,196.0
NU1C1H46C,546.0,0.0,0.0,0.0,0,0,546.0
NU1C1H46K,156.0,0.0,0.0,0.0,0,0,156.0
NU1C1J36C,500.0,40.0,0.0,0.0,0,0,460.0
NU1C8E51C,332.0,20.0,0.0,0.0,0,0,312.0
NU1C8E51K,3008.0,0.0,32.0,0.0,0,0,2998.4
NU1C9B36C,98.0,6.0,2.0,0.0,0,0,91.4
NU1C9B36K,71.0,3.0,0.0,0.0,0,0,68.0
NU1C9E46C,104.0,3.0,0.0,1.0,0,0,100.5
NU1C9E46K,60.0,2.0,2.0,0.0,0,0,57.4
NU1C9H36C,7.0,0.0,0.0,0.0,0,0,7.0
NU1C9H36K,5.0,0.0,0.0,0.0,0,0,5.0
NU1C9H46C,4.0,0.0,0.0,0.0,0,0,4.0
NU1C9H46K,3.0,0.0,0.0,0.0,0,0,3.0
NU1P1A22Z,228.0,0.0,0.0,0.0,0,0,228.0
NU1P1B22Z,760.0,0.0,0.0,0.0,0,0,760.0
NU1P1E22Z,1012.0,0.0,0.0,0.0,0,0,1012.0
NU1P1F22Z,64.0,0.0,0.0,0.0,0,0,64.0
NU1P1H22Z,932.0,20.0,96.0,0.0,0,0,883.2
NU1P1J22K,160.0,0.0,0.0,0.0,0,0,160.0
NU1P1K22K,280.0,0.0,0.0,0.0,0,0,280.0
S2B15E45K,180.0,20.0,0.0,0.0,0,0,160.0
S2D15E45K,260.0,0.0,0.0,0.0,0,0,260.0
S2E15E45K,420.0,20.0,20.0,0.0,0,0,394.0


=== A2_数量占比表 ===
SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
5102SH571T12,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5102SH571T15,100.00%,33.33%,0.00%,0.00%,0.00%,0.00%,66.67%
5102SH571T20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5102SH571T25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5110/5112-5450B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5112H666E32,100.00%,3.70%,7.41%,0.00%,0.00%,0.00%,94.07%
5112SH666T12,100.00%,7.55%,3.77%,0.00%,0.00%,0.00%,91.32%
5112SH666T15,100.00%,0.00%,4.35%,0.00%,0.00%,0.00%,98.70%
5112SH666T20,100.00%,4.44%,0.00%,0.00%,0.00%,0.00%,95.56%
5112SH666T25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5112SH666T30,100.00%,5.00%,10.00%,0.00%,0.00%,0.00%,92.00%
5115H715E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120H641E20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120H669E20,100.00%,0.00%,9.09%,0.00%,0.00%,0.00%,97.27%
5120H669E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120H741E32,100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,75.00%
5120SH726T10,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH726T15,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH726T20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH726T25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH726T30,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH741T10,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH741T12,100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,75.00%
5120SH741T15,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH741T20,100.00%,6.67%,0.00%,0.00%,0.00%,0.00%,93.33%
5120SH741T25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5120SH741T30,100.00%,9.09%,0.00%,0.00%,0.00%,0.00%,90.91%
5130H715E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5130SH715T12,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5130SH715T15,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5130SH715T20,100.00%,10.00%,0.00%,0.00%,0.00%,0.00%,90.00%
5130SH715T25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5130SH715T30,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5135/5500-5500H38,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5450/5475-5500B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5450H601B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5450H641E15,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5450H641E25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5450H671B20,100.00%,13.33%,0.00%,0.00%,0.00%,0.00%,86.67%
5450H671B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5475-5450B25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5475-5475B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5475/5500-5500H32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5500/5550-5450B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
5500/5550-5475B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6135-6550H871E38,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6135/6550-6550E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6135H871E25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6450/6500-6550B32,100.00%,0.00%,44.44%,0.00%,0.00%,0.00%,86.67%
6550-6135H781E38,100.00%,0.00%,50.00%,0.00%,0.00%,0.00%,85.00%
6550-6550B32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550-6550B38,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550-6550B51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550-6550E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550-6550E38,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550-6550E51,100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,75.00%
6550H106B25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550H106B38,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550H781E25,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550H781E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
6550H951E32,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
8170-8180E51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
8170-8650E51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
8180-8170E51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
8180-8650E51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
8650-8170E51,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BE2B4E28K,100.00%,0.00%,6.12%,0.00%,0.00%,0.00%,98.16%
BE2B4E40K,100.00%,6.45%,6.45%,0.00%,0.00%,0.00%,91.61%
BE2B4E45K,100.00%,6.21%,6.21%,0.00%,0.00%,0.00%,91.93%
BE2B4E50K,100.00%,8.11%,0.00%,0.00%,0.00%,0.00%,91.89%
BE2B4E55K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BE2B4E60K,100.00%,4.17%,0.00%,0.00%,0.00%,0.00%,95.83%
BE2B4E65K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BE2B4E70K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BE2B4E75K,100.00%,0.00%,20.00%,0.00%,0.00%,0.00%,94.00%
BE2B9B40K,100.00%,0.00%,25.00%,0.00%,0.00%,0.00%,92.50%
BE2B9E28K,100.00%,7.69%,7.69%,0.00%,0.00%,0.00%,90.00%
BE2B9E45K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4A28C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4A28K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4B28K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4B40K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4B45K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4B50K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4B55K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4D28K,100.00%,18.12%,0.00%,0.00%,0.00%,0.00%,81.88%
BU1B4D40K,100.00%,9.38%,0.00%,0.00%,0.00%,0.00%,90.62%
BU1B4D45K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4D50K,100.00%,2.78%,0.00%,0.00%,0.00%,0.00%,97.22%
BU1B4D55K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B4D60K,100.00%,6.25%,0.00%,0.00%,0.00%,0.00%,93.75%
BU1B4E28K,100.00%,3.34%,3.34%,2.68%,0.00%,0.00%,94.31%
BU1B9A28K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B9B28K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
BU1B9D28K,100.00%,11.11%,11.11%,0.00%,0.00%,0.00%,85.56%
BU1B9E28K,100.00%,0.00%,0.00%,5.26%,0.00%,0.00%,97.37%
BU1B9SKTX,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C2B40C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C2B40K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C2E40C,100.00%,0.00%,1.53%,0.00%,0.00%,0.00%,99.54%
NE1C2E40K,100.00%,0.95%,1.89%,0.95%,0.00%,0.00%,98.02%
NE1C2E45C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C2E45K,100.00%,0.00%,1.63%,0.00%,0.00%,0.00%,99.51%
NE1C3B40C,100.00%,5.21%,0.00%,0.00%,0.00%,0.00%,94.79%
NE1C3B40K,100.00%,21.15%,0.00%,0.00%,0.00%,0.00%,78.85%
NE1C3E45C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C3E45K,100.00%,3.60%,0.00%,0.00%,0.00%,0.00%,96.40%
NE1C3F45C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C3F45K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C9E40C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE1C9E40K,100.00%,1.72%,1.72%,0.00%,0.00%,0.00%,97.76%
NE3C2E48C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C2E48K,100.00%,4.72%,2.36%,0.00%,0.00%,0.00%,94.57%
NE3C3A37C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C3A37K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C3B37C,100.00%,0.90%,0.00%,0.00%,0.00%,0.00%,99.10%
NE3C3B37K,100.00%,1.48%,1.18%,0.00%,0.00%,0.00%,98.17%
NE3C3B48C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C3B48K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C9A37C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C9A37K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NE3C9B37C,100.00%,0.00%,10.53%,0.00%,0.00%,0.00%,96.84%
NE3C9B37K,100.00%,2.27%,11.36%,0.00%,0.00%,0.00%,94.32%
NE3C9E48C,100.00%,0.00%,12.50%,0.00%,0.00%,0.00%,96.25%
NE3C9E48K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1A36C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1A36K,100.00%,0.00%,3.91%,0.00%,0.00%,0.00%,98.83%
NU1C1B36C,100.00%,2.31%,0.00%,0.00%,0.00%,0.00%,97.69%
NU1C1B36K,100.00%,3.44%,0.00%,0.00%,0.00%,0.00%,96.56%
NU1C1E46C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1E46K,100.00%,1.31%,2.35%,0.00%,0.00%,0.00%,97.99%
NU1C1H36C,100.00%,1.74%,0.00%,0.00%,0.00%,0.00%,98.26%
NU1C1H36K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1H46C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1H46K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C1J36C,100.00%,8.00%,0.00%,0.00%,0.00%,0.00%,92.00%
NU1C8E51C,100.00%,6.02%,0.00%,0.00%,0.00%,0.00%,93.98%
NU1C8E51K,100.00%,0.00%,1.06%,0.00%,0.00%,0.00%,99.68%
NU1C9B36C,100.00%,6.12%,2.04%,0.00%,0.00%,0.00%,93.27%
NU1C9B36K,100.00%,4.23%,0.00%,0.00%,0.00%,0.00%,95.77%
NU1C9E46C,100.00%,2.88%,0.00%,0.96%,0.00%,0.00%,96.63%
NU1C9E46K,100.00%,3.33%,3.33%,0.00%,0.00%,0.00%,95.67%
NU1C9H36C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C9H36K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C9H46C,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1C9H46K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1A22Z,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1B22Z,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1E22Z,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1F22Z,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1H22Z,100.00%,2.15%,10.30%,0.00%,0.00%,0.00%,94.76%
NU1P1J22K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
NU1P1K22K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
S2B15E45K,100.00%,11.11%,0.00%,0.00%,0.00%,0.00%,88.89%
S2D15E45K,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
S2E15E45K,100.00%,4.76%,4.76%,0.00%,0.00%,0.00%,93.81%


=== A3_数量结构环比表 ===
SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
5102SH571T12,0.00%,-100.00%,N/A,N/A,N/A,N/A,50.00%
5102SH571T15,0.00%,N/A,N/A,N/A,N/A,N/A,-33.33%
5102SH571T20,0.00%,N/A,-100.00%,N/A,N/A,N/A,6.38%
5102SH571T25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5110/5112-5450B32,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5112H666E32,0.00%,N/A,-59.26%,N/A,N/A,N/A,-0.50%
5112SH666T12,0.00%,107.55%,-65.41%,N/A,N/A,N/A,-1.90%
5112SH666T15,0.00%,-100.00%,-52.17%,N/A,-100.00%,N/A,8.44%
5112SH666T20,0.00%,-28.89%,-100.00%,N/A,-100.00%,N/A,7.29%
5112SH666T25,0.00%,-100.00%,N/A,N/A,N/A,N/A,2.86%
5112SH666T30,0.00%,N/A,110.00%,N/A,N/A,N/A,-6.67%
5115H715E32,New,New,New,New,New,New,New
5120H641E20,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120H669E20,0.00%,N/A,N/A,N/A,N/A,N/A,-2.73%
5120H669E32,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120H741E32,0.00%,N/A,N/A,N/A,N/A,N/A,-25.00%
5120SH726T10,0.00%,-100.00%,-100.00%,N/A,N/A,N/A,25.00%
5120SH726T15,0.00%,N/A,-100.00%,N/A,N/A,N/A,3.09%
5120SH726T20,0.00%,N/A,-100.00%,N/A,N/A,N/A,6.87%
5120SH726T25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120SH726T30,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120SH741T10,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120SH741T12,New,New,New,New,New,New,New
5120SH741T15,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120SH741T20,0.00%,-76.67%,N/A,N/A,N/A,N/A,30.67%
5120SH741T25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5120SH741T30,0.00%,N/A,N/A,N/A,N/A,N/A,-9.09%
5130H715E32,0.00%,N/A,-100.00%,N/A,N/A,N/A,11.11%
5130SH715T12,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5130SH715T15,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5130SH715T20,0.00%,N/A,N/A,N/A,N/A,N/A,-10.00%
5130SH715T25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5130SH715T30,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5135/5500-5500H38,0.00%,N/A,N/A,N/A,-100.00%,N/A,42.86%
5450/5475-5500B32,New,New,New,New,New,New,New
5450H601B32,New,New,New,New,New,New,New
5450H641E15,0.00%,N/A,-100.00%,N/A,N/A,N/A,13.64%
5450H641E25,New,New,New,New,New,New,New
5450H671B20,0.00%,N/A,N/A,N/A,N/A,N/A,-13.33%
5450H671B32,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5475-5450B25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
5475-5475B32,New,New,New,New,New,New,New
5475/5500-5500H32,0.00%,N/A,-100.00%,N/A,N/A,N/A,13.64%
5500/5550-5450B32,0.00%,N/A,-100.00%,N/A,N/A,N/A,17.65%
5500/5550-5475B32,New,New,New,New,New,New,New
6135-6550H871E38,0.00%,N/A,-100.00%,N/A,N/A,N/A,3.90%
6135/6550-6550E32,New,New,New,New,New,New,New
6135H871E25,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%
