买家用户名,客户标签,运营建议,净消费额(Net LTV),总流水(Gross),订单数(1Y),退货率(1Y),最近购买(天前),客单价(Net AOV)
platinum_wheels,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1364.74,1364.74,6,0.0%,51,227.46
erivera8521,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1296.8,1296.8,3,0.0%,38,432.27
signitdriveit,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1191.8,1191.8,4,0.0%,47,297.95
jaysons415,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1125.51,1125.51,15,0.0%,0,75.03
jcwheelsllc,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1073.26,1073.26,12,0.0%,39,89.44
abpet_5629,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,1019.72,1019.72,13,0.0%,111,78.44
vietle63,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率42%，实际净值仅$1018.35。,1018.35,1018.35,7,41.7%,201,145.48
speedzoneweb,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率42%，实际净值仅$953.66。,953.66,953.66,6,41.7%,172,158.94
igna.oliv,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,942.0,942.0,6,14.3%,104,157.0
mayapaya32,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,884.38,884.38,8,11.1%,42,110.55
vicpat6,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,882.17,882.17,5,16.7%,165,176.43
ruprima_0,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,869.75,869.75,5,0.0%,85,173.95
yaman_33,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,795.92,795.92,1,0.0%,71,795.92
1202you_81,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$776.32。,776.32,776.32,4,50.0%,299,194.08
christogenesis,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,772.22,772.22,3,0.0%,58,257.41
lyftkits,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,750.08,750.08,4,0.0%,4,187.52
kenntorre0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率43%，实际净值仅$728.01。,728.01,728.01,4,42.9%,125,182.0
gmsales1,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,727.38,727.38,3,0.0%,57,242.46
dztires,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,696.88,696.88,11,0.0%,8,63.35
britishenvy,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$687.40。,687.4,687.4,3,40.0%,256,229.13
jszimhv79,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,677.73,677.73,5,0.0%,198,135.55
beachs6,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,674.35,674.35,6,0.0%,184,112.39
ruppswheels,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,634.91,634.91,7,0.0%,1,90.7
christianrubenchristian,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,617.36,617.36,8,0.0%,9,77.17
okrazy,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,617.21,617.21,4,0.0%,61,154.3
andrelebede0,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,607.41,607.41,4,0.0%,5,151.85
ilushenka123,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,594.41,594.41,5,16.7%,102,118.88
simons1a,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$590.00。,590.0,590.0,2,50.0%,100,295.0
luporta_12,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$581.85。,581.85,581.85,4,33.3%,254,145.46
minef100,[DISPUTE] 纠纷发起者,高危预警: 曾发起Payment Dispute，建议拉黑。,575.64,575.64,3,25.0%,282,191.88
extremewheelsandtires15,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,566.98,566.98,3,0.0%,136,188.99
jeffe.lando,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,566.32,566.32,11,0.0%,127,51.48
tires2020,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,562.2,562.2,1,0.0%,137,562.2
yeby9347,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率43%，实际净值仅$561.03。,561.03,561.03,3,42.9%,41,187.01
vegas.2015,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$560.00。,560.0,560.0,3,50.0%,229,186.67
48wb9_97,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,559.6,559.6,1,50.0%,11,559.6
1842eugene,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,550.21,550.21,5,0.0%,75,110.04
omabarra,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,538.17,538.17,8,0.0%,14,67.27
shelt-perr,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,531.08,531.08,3,0.0%,46,177.03
pechoro1,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,531.02,531.02,3,0.0%,25,177.01
flendwe_0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$525.96。,525.96,525.96,5,33.3%,129,105.19
edwoze12,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$519.92。,519.92,519.92,4,50.0%,299,129.98
davocardsnsneakers,[DISPUTE] 纠纷发起者 | [SERIAL-RETURN] 惯性退货,高危预警: 曾发起Payment Dispute，建议拉黑。 利润杀手: 退货率40%，实际净值仅$517.05。,517.05,517.05,2,40.0%,43,258.52
tropicalchevroletmiami,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,494.67,494.67,1,0.0%,12,494.67
sonny242,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,482.58,482.58,8,0.0%,33,60.32
boostautomotiveintl,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,477.37,477.37,5,0.0%,18,95.47
rusanovdi,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$476.34。,476.34,476.34,2,50.0%,312,238.17
mawil_432,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,473.69,473.69,6,0.0%,53,78.95
ccwi-w-9yervanm,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,471.9,471.9,5,16.7%,258,94.38
onpointauto66,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,470.03,470.03,3,0.0%,22,156.68
mtjcdjr,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,456.69,456.69,3,0.0%,50,152.23
mathigua_0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$449.44。,449.44,449.44,4,33.3%,246,112.36
brla-974,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$440.50。,440.5,440.5,3,40.0%,204,146.83
jdhjh_ntu3h1quh,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,438.15,438.15,4,0.0%,79,109.54
audigod80,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$427.50。,427.5,427.5,3,40.0%,176,142.5
factory1autoparts,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,424.75,424.75,1,0.0%,320,424.75
dunasflo79,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$416.94。,416.94,416.94,3,50.0%,140,138.98
jactiresho,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,415.0,415.0,3,0.0%,121,138.33
bsc2012,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$415.00。,415.0,415.0,2,50.0%,304,207.5
nipponkoyo,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,407.6,407.6,2,0.0%,305,203.8
vercsan_0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$404.35。,404.35,404.35,3,40.0%,55,134.78
bobwiz78,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$402.43。,402.43,402.43,4,33.3%,102,100.61
rgom4242,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,401.55,401.55,5,0.0%,80,80.31
saigonco,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,398.74,398.74,7,0.0%,1,56.96
baddasswheels,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,398.0,398.0,3,0.0%,77,132.67
antuv-11,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$397.12。,397.12,397.12,2,50.0%,110,198.56
geofbl40,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$395.96。,395.96,395.96,2,50.0%,247,197.98
doe-vazqu,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,386.92,386.92,8,0.0%,194,48.37
sayan808,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,386.37,386.37,3,0.0%,36,128.79
kega_5123,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$383.94。,383.94,383.94,2,50.0%,229,191.97
ellol-38,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$383.82。,383.82,383.82,3,40.0%,54,127.94
swampl-52,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$382.35。,382.35,382.35,2,33.3%,127,191.18
cesar_typer,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,380.12,380.12,4,0.0%,37,95.03
redg2,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$379.57。,379.57,379.57,2,33.3%,356,189.79
omaeldebalkarzedi-0,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,378.16,378.16,8,0.0%,32,47.27
yjtablue,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$375.80。,375.8,375.8,2,50.0%,211,187.9
grahamracing09,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,374.75,374.75,5,0.0%,40,74.95
delgagiova,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$373.34。,373.34,373.34,2,50.0%,307,186.67
baishamu0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$371.96。,371.96,371.96,2,33.3%,153,185.98
ta_71947,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$371.34。,371.34,371.34,2,33.3%,200,185.67
squeko,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,371.19,371.19,3,0.0%,191,123.73
raskal007,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$365.15。,365.15,365.15,2,33.3%,279,182.57
agadeapty,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,364.06,364.06,2,0.0%,70,182.03
vnn6621,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$360.22。,360.22,360.22,2,50.0%,302,180.11
niunate,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$359.53。,359.53,359.53,2,33.3%,226,179.76
joserondin,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,357.26,357.26,4,0.0%,173,89.31
belou_us2015,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$355.96。,355.96,355.96,2,50.0%,222,177.98
hpautosport,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$354.97。,354.97,354.97,2,33.3%,305,177.49
comil-1712,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$354.22。,354.22,354.22,3,40.0%,82,118.07
rtautoaccessories,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,353.03,353.03,3,0.0%,96,117.68
endokyij_0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$351.45。,351.45,351.45,3,40.0%,239,117.15
newmantalavera-19,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$349.97。,349.97,349.97,2,33.3%,346,174.99
214jv2005,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,348.65,348.65,6,0.0%,95,58.11
frie-8841,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,348.57,348.57,4,16.7%,101,87.14
machswex88,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,348.48,348.48,3,0.0%,85,116.16
eleganttechboston,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$348.47。,348.47,348.47,2,33.3%,263,174.23
marskal81,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$346.23。,346.23,346.23,2,33.3%,58,173.12
jef_5931,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$344.47。,344.47,344.47,2,33.3%,229,172.23
capitalma9772,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,344.02,344.02,2,0.0%,116,172.01
tiresandwheels2006,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,343.81,343.81,3,0.0%,126,114.6
wheelplususa,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,338.59,338.59,13,0.0%,44,26.05
marjen9607,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$336.97。,336.97,336.97,2,33.3%,235,168.48
mkkassab,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率43%，实际净值仅$336.81。,336.81,336.81,4,42.9%,231,84.2
grco_8891,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$333.56。,333.56,333.56,2,50.0%,94,166.78
wetzelchevrolet2010,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$332.85。,332.85,332.85,2,33.3%,221,166.43
racewin24,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,326.62,326.62,3,0.0%,71,108.87
sfr238,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,326.41,326.41,4,0.0%,50,81.6
abuli26,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$325.47。,325.47,325.47,2,33.3%,244,162.73
author-6359,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,322.95,322.95,5,0.0%,10,64.59
nealmuggs007,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$321.56。,321.56,321.56,2,33.3%,79,160.78
nassal_20,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$321.25。,321.25,321.25,2,33.3%,279,160.62
haham-9883,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$320.39。,320.39,320.39,3,40.0%,309,106.8
felara0577,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,320.0,320.0,1,0.0%,154,320.0
stylcali,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,319.14,319.14,3,0.0%,10,106.38
saltyoperatorarizona,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$318.22。,318.22,318.22,2,33.3%,284,159.11
kobuchana-0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$316.95。,316.95,316.95,2,40.0%,296,158.47
mic_7402686,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,316.16,316.16,1,0.0%,348,316.16
abvill-19,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$315.74。,315.74,315.74,2,50.0%,236,157.87
lucli-6524,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,315.61,315.61,4,0.0%,30,78.9
justins_jeeps,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$315.36。,315.36,315.36,2,50.0%,200,157.68
tracylisarainwater,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$315.36。,315.36,315.36,2,50.0%,143,157.68
cyp-578,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,315.36,315.36,1,0.0%,64,315.36
nuthinbutlifts,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,309.98,309.98,1,0.0%,105,309.98
tvardovskyi,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$308.98。,308.98,308.98,2,40.0%,75,154.49
blindbydarkness,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$307.74。,307.74,307.74,3,50.0%,178,102.58
niest_2767,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$305.34。,305.34,305.34,2,50.0%,150,152.67
walpey-0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$303.45。,303.45,303.45,2,40.0%,126,151.72
cynergysystems,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$303.09。,303.09,303.09,3,40.0%,201,101.03
ji651239,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$302.97。,302.97,302.97,2,33.3%,61,151.48
hi-wayautosales,[DISPUTE] 纠纷发起者 | [SERIAL-RETURN] 惯性退货,高危预警: 曾发起Payment Dispute，建议拉黑。 利润杀手: 退货率33%，实际净值仅$302.93。,302.93,302.93,2,33.3%,198,151.47
lizakeou,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$301.89。,301.89,301.89,2,33.3%,246,150.94
sabohl715,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$299.00。,299.0,299.0,2,33.3%,283,149.5
vpcha35,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,297.58,297.58,2,0.0%,23,148.79
stepaffi-0,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$297.45。,297.45,297.45,2,33.3%,130,148.72
nello177,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$297.01。,297.01,297.01,2,33.3%,1,148.5
95apol26,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,296.59,296.59,2,0.0%,15,148.29
dpg_evan,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率50%，实际净值仅$295.22。,295.22,295.22,2,50.0%,334,147.61
handala2010,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,295.22,295.22,6,14.3%,1,49.2
transcontinental954,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$292.84。,292.84,292.84,2,33.3%,4,146.42
robertonavas,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率40%，实际净值仅$291.53。,291.53,291.53,2,40.0%,312,145.76
milehighairguns,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$290.56。,290.56,290.56,2,33.3%,312,145.28
